Data Set                                Times
  Size        Ascending Order       Random Order   Descending Order
  800000           0.1  ok            0.2  ok            0.1  ok
 1600000           0.2  ok            0.3  ok            0.2  ok
 3200000           0.4  ok            0.7  ok            0.4  ok
 6400000           0.7  ok            1.4  ok            0.8  ok
12800000           1.6  ok            2.8  ok            1.5  ok
25600000           3.1  ok            5.8  ok            3.1  ok

Data Set                                Times
  Size        Ascending Order       Random Order   Descending Order
  800000           0.1  ok            0.2  ok            0.1  ok
 1600000           0.2  ok            0.3  ok            0.2  ok
 3200000           0.4  ok            0.6  ok            0.3  ok
 6400000           0.8  ok            1.3  ok            0.7  ok
12800000           1.5  ok            2.8  ok            1.6  ok
25600000           3.1  ok            5.9  ok            3.2  ok

Data Set                                Times
  Size        Ascending Order       Random Order   Descending Order
  800000           0.1  ok            0.2  ok            0.1  ok
 1600000           0.2  ok            0.4  ok            0.2  ok
 3200000           0.4  ok            0.6  ok            0.4  ok
 6400000           0.7  ok            1.3  ok            0.8  ok
12800000           1.5  ok            2.7  ok            1.6  ok
25600000           3.1  ok            5.9  ok            3.2  ok
